Altium Designer Pick and Place Locations
C:\Users\user\OneDrive\Desktop\5th YR Project\Design files\5th Year Project\Project Outputs for 5th Year Project\Pick Place for 5th Year Project.csv

========================================================================================================================
File Design Information:

Date:       17/03/23
Time:       08:16
Revision:   f0bbd62dc07062febaf054264df4026ede519664
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J1","105450-0101","TopLayer","MOLEX_105450-0101","99.9150","35.7000","90","USB-C (USB TYPE-C) USB 3.2 Gen 2 (USB 3.1 Gen 2, Superspeed + (USB 3.1)) Receptacle Connector 24 Position Surface Mount, Right Angle; Through Hole"
"Y2","ABS06-107-32.768KHZ-T","TopLayer","FP-ABS06-MFG","50.0000","59.2000","270","Crystal 32.768kHz ±20ppm (Tol) 4pF FUND 60k? 2-Pin Mini-CSMD T/R"
"Y1","ABM2-25.000MHZ-D4Y-T","TopLayer","FP-ABM2-MFG","43.3000","52.2500","270","Crystal 25MHz ±30ppm 18pF SMD-2 8mm x 4.5mm"
"U2","TLV1117LV33DCYR","TopLayer","DCY0004A_N","83.9000","42.2000","90","Single Output LDO, 1 A, Fixed 3.3 V Output, 2 to 5.5 V Input, 4-pin SOT-223 (DCY), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"U1","STM32H743VIT6","TopLayer","FP-LQFP100-1L-MFG","65.4450","53.9300","0","IC MCU 32BIT 2MB FLASH 100LQFP"
"SD1","503398-1892","TopLayer","MOLX-503398-1892_V","95.9000","54.8000","90","Micro SD Connector, Pitch 1.1 mm, 8 Position, Height 1.4 mm, -25 to 85 degC, RoHS, Tape and Reel"
"R8","330R","TopLayer","FP-KTR03-MFG","41.8500","63.8000","180","Res Thick Film 0603 330O 1% 0.1W ±100ppm/°C Automotive Paper T/R"
"R7","10k","TopLayer","FP-SFR03-MFG","59.3000","67.6000","0","RES SMD 10K OHM 1% 1/10W 0603"
"R6","47k","TopLayer","FP-KTR03-IPC_C","77.2000","73.0000","90","Res Thick Film 0603 47kO 1% 0.1W ±100ppm/°C Automotive Paper T/R"
"R5","47k","TopLayer","FP-KTR03-IPC_C","79.5000","71.1000","90","Res Thick Film 0603 47kO 1% 0.1W ±100ppm/°C Automotive Paper T/R"
"R4","47k","TopLayer","FP-KTR03-IPC_C","82.5000","71.1000","270","Res Thick Film 0603 47kO 1% 0.1W ±100ppm/°C Automotive Paper T/R"
"R3","47k","TopLayer","FP-KTR03-IPC_C","85.3000","71.1000","270","Res Thick Film 0603 47kO 1% 0.1W ±100ppm/°C Automotive Paper T/R"
"R2","47k","TopLayer","FP-KTR03-IPC_C","87.9000","70.8730","270","Res Thick Film 0603 47kO 1% 0.1W ±100ppm/°C Automotive Paper T/R"
"R1","330R","TopLayer","FP-KTR03-MFG","65.8000","30.1000","180","Res Thick Film 0603 330O 1% 0.1W ±100ppm/°C Automotive Paper T/R"
"P1","TSW-103-07-T-S","TopLayer","SMTC-TSW-103-07-X-S","58.6000","72.0000","180","0.025" SQ Post Header, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 3-Pin, Male, RoHS"
"J4","M20-9990246","TopLayer","FP-M20-9990246-MFG","48.8000","72.0000","0","CONN HEADER VERT 2POS 2.54MM"
"J3","M20-9990846","TopLayer","FP-M20-9990846-MFG","89.9700","81.5000","0","CONN HEADER VERT 8POS 2.54MM"
"J2","62001011821","TopLayer","62001011821","58.8000","81.7000","180","THT Vertical Socket Header WR-PHD, Pitch 2.00 mm, Single Row, 10 pins"
"FB2","MMZ1005D121CTD25","TopLayer","FP-MMZ1005-IPC_C","54.7000","49.5000","0","Signal Line Ferrite Bead 120O @ 100MHz 350mA DCR 600mO AEC-Q200 SMD 0402"
"FB1","MMZ1005D121CTD25","TopLayer","FP-MMZ1005-IPC_C","93.9000","32.9000","90","Signal Line Ferrite Bead 120O @ 100MHz 350mA DCR 600mO AEC-Q200 SMD 0402"
"D2","Debug LED","TopLayer","FP-6_541-5094_01-4-MFG","46.0000","63.8000","0","LED BLUE 0603 SMD"
"D1","PWRON","TopLayer","FP-6_541-5092_01-4-MFG","69.3250","37.0750","0","LED RED 0603 SMD"
"C18","100nF","TopLayer","CAPC1050X55X23ML05T13","54.2000","52.0000","0","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C17","4.7pF","TopLayer","FP-CL10-IPC_C","45.0000","58.5000","270","Cap Ceramic 4.7pF 50V C0G ±0.25pF Pad SMD 0603 +125°C T/R"
"C16","4.7pF","TopLayer","FP-CL10-IPC_C","54.7000","58.8000","270","Cap Ceramic 4.7pF 50V C0G ±0.25pF Pad SMD 0603 +125°C T/R"
